078.32	 ἐμοῦ.	 ἐμοῦ	 ἐμοῦ	 ἐγώ
079.37	 ἀσεβείας	 ἐγράψατο	 ἐγράψατο	 γράφω
080.27	 ἄλλων;	 ἄλλων	 ἄλλων	 ἄλλος
081.38	 εἶναι;	 εἶναι	 εἶναι	 εἰμί
082.04	 Σώκρατες.	 Σώκρατες	 Σώκρατες	 Σωκράτης
083.11	 ἀνόσιον;	 ἀνόσιον	 ἀνόσιον	 ἀνόσιος
084.41	 ἀνόσιον·	 ἀνόσιον	 ἀνόσιον	 ἀνόσιος
085.35	 ὤν.	 ὤν	 ὤν	 εἰμί
086.37	 τοιαῦτα·	 τοιαῦτα	 τοιαῦτα	 τοιοῦτος
087.22	 ἐμοῦ.	 ἐμοῦ	 ἐμοῦ	 ἐγώ
088.22	 πως	 ἀποδέχομαι	 ἀποδέχομαι	 ἀποδέχομαι
089.08	 ἐξαμαρτάνειν.	 ἐξαμαρτάνειν	 ἐξαμαρτάνειν	 ἐξαμαρτάνω
090.20	 συγχωρεῖν.	 συγχωρεῖν	 συγχωρεῖν	 συγχωρέω
091.13	 εἰδέναι;	 εἰδέναι	 εἰδέναι	 οἶδα
092.12	 γεγονέναι;	 γεγονέναι	 γεγονέναι	 γίγνομαι
093.12	 ἴσασιν.	 ἴσασιν	 ἴσασιν	 οἶδα
094.56	 ἀκρόπολιν;	 ἀκρόπολιν	 ἀκρόπολιν	 ἀκρόπολις
095.06	 Εὐθύφρων;	 Εὐθύφρων	 Εὐθύφρων	 εὐθύφρων
096.27	 ἐκπλαγήσῃ.	 ἐκπλαγήσῃ	 ἐκπλαγήσῃ	 ἐκπλάσσω
097.03	 θαυμάζοιμι.	 θαυμάζοιμι	 θαυμάζοιμι	 θαυμάζω
098.09	 διηγήσῃ·	 διηγήσῃ	 διηγήσῃ	 διηγέομαι
099.09	 εἰπεῖν.	 εἰπεῖν	 εἰπεῖν	 εἶπον
